gameId,seasonYear,League,homeTeamId,awayTeamId,Date,startTime,status,homeScore,awayScore
9640,2021,standard,9,8,2021-10-29,22:00,Finished,106,75
9641,2021,standard,29,16,2021-10-29,22:00,Finished,111,92
9642,2021,standard,17,7,2021-10-29,22:30,Finished,113,101
9643,2021,standard,41,2,2021-10-30,17:00,Finished,115,112
9644,2021,standard,10,26,2021-10-30,19:00,Finished,110,103
9645,2021,standard,23,24,2021-10-30,19:00,Finished,117,123
9646,2021,standard,15,38,2021-10-30,19:30,Finished,94,97
9647,2021,standard,27,1,2021-10-30,19:30,Finished,122,94
9648,2021,standard,6,40,2021-10-30,20:00,Finished,107,99
9649,2021,standard,19,20,2021-10-30,20:00,Finished,103,129
9650,2021,standard,21,31,2021-10-30,20:00,Finished,93,102
9651,2021,standard,11,25,2021-10-30,20:30,Finished,103,82
9652,2021,standard,22,9,2021-10-30,21:00,Finished,91,93
9653,2021,standard,28,7,2021-10-30,22:00,Finished,101,92
9654,2021,standard,8,30,2021-10-31,15:30,Finished,105,99
9655,2021,standard,5,29,2021-10-31,19:00,Finished,125,113
9656,2021,standard,21,40,2021-10-31,19:00,Finished,95,107
9657,2021,standard,4,10,2021-10-31,19:30,Finished,117,91
9658,2021,standard,17,14,2021-10-31,22:30,Finished,95,85
9659,2021,standard,5,7,2021-11-01,19:00,Finished,110,113
9660,2021,standard,15,31,2021-11-01,19:00,Finished,131,118
9661,2021,standard,27,29,2021-11-01,19:00,Finished,113,103
9662,2021,standard,1,41,2021-11-01,19:30,Finished,118,111
9663,2021,standard,2,6,2021-11-01,19:30,Finished,114,128
9664,2021,standard,24,38,2021-11-01,19:30,Finished,104,113
9665,2021,standard,19,9,2021-11-01,20:00,Finished,106,97
9666,2021,standard,22,26,2021-11-01,20:00,Finished,97,115
9667,2021,standard,16,25,2021-11-01,22:30,Finished,99,94
9668,2021,standard,10,21,2021-11-02,19:00,Finished,89,117
9669,2021,standard,8,20,2021-11-02,19:30,Finished,110,125
9670,2021,standard,40,30,2021-11-02,21:00,Finished,119,113
9671,2021,standard,28,23,2021-11-02,22:00,Finished,112,100
8893,2021,standard,17,14,2021-11-02,22:30,Finished,119,117
8894,2021,standard,7,29,2021-11-03,19:00,Finished,107,104
8895,2021,standard,15,24,2021-11-03,19:00,Finished,111,98
8896,2021,standard,26,2,2021-11-03,19:00,Finished,79,92
8897,2021,standard,27,6,2021-11-03,19:00,Finished,103,98
8898,2021,standard,41,38,2021-11-03,19:00,Finished,100,109
8899,2021,standard,4,1,2021-11-03,19:30,Finished,117,108
8900,2021,standard,19,9,2021-11-03,20:00,Finished,108,106
8901,2021,standard,22,16,2021-11-03,20:00,Finished,115,126
8902,2021,standard,31,8,2021-11-03,20:30,Finished,108,109
8903,2021,standard,11,5,2021-11-03,22:00,Finished,114,92
8904,2021,standard,30,23,2021-11-03,22:00,Finished,112,99
8905,2021,standard,10,27,2021-11-04,19:00,Finished,98,109
