LEAGUE,PLAYER,POS,TEAM,GAME,FP,PTS,MIN,FG,FGA,AST,TRB,DRB,ORB,BK,ST,TO,FT,FTP,FGP
NBA,Serge Ibaka,PF,LAC,LAC@PHO,24.8,13.6,28,5.5,11.3,1.7,7.9,6.0,1.8,1.3,0.4,2.0,1.3,0.74,0.49
NBA,Al Horford,C,BOS,BOS@NY,23.2,10.1,27,3.9,8.4,3.1,6.3,5.0,1.3,1.1,0.5,0.9,1.1,0.83,0.46
NBA,Cameron Payne,PG,PHO,LAC@PHO,23.0,12.4,22,4.7,11.3,3.8,3.9,3.5,0.4,0.3,0.8,2.1,1.4,0.87,0.42
NBA,Marcus Smart,SG,BOS,BOS@NY,22.9,10.2,33,3.5,8.9,4.4,3.7,3.1,0.6,0.4,1.4,1.6,1.9,0.8,0.39
NBA,Mikal Bridges,SF,PHO,LAC@PHO,22.8,13.0,32,4.9,10.0,1.8,5.2,4.2,1.0,0.6,1.3,1.0,1.2,0.84,0.49
NBA,Steven Adams,C,MEM,DET@MEM,22.6,8.4,28,3.6,5.9,2.4,8.9,5.4,3.5,0.7,1.1,1.4,1.2,0.55,0.61
NBA,Nickeil Alexander-Walker,SG,NO,GS@NO,22.6,13.5,26,5.1,13.7,3.0,3.6,2.8,0.7,0.3,1.0,1.7,1.1,0.69,0.37
NBA,Immanuel Quickley,SG,NY,BOS@NY,22.4,13.1,28,4.2,11.6,3.3,3.1,2.8,0.4,0.1,0.9,1.5,2.3,0.93,0.36
NBA,Gary Payton,PG,GS,GS@NO,22.2,12.1,26,5.1,8.5,1.9,5,4.0,1.1,0.5,1.8,0.9,0.8,0.56,0.6
NBA,Dennis Schroder,PG,BOS,BOS@NY,22.1,12.9,28,4.7,11.1,3.6,3.1,2.7,0.4,0.1,0.6,1.8,2.2,0.85,0.42
NBA,Eric Bledsoe,PG,LAC,LAC@PHO,21.9,10.8,26,4.0,9.5,4.0,3.5,2.9,0.6,0.4,1.3,2.1,1.5,0.75,0.42
NBA,Jalen Smith,C,PHO,LAC@PHO,21.6,11.4,22,4.1,8.6,0.3,9.4,6.3,3.1,1.0,0.4,1.2,2.7,0.88,0.48
NBA,Evan Fournier,SG,NY,BOS@NY,21.5,13.6,30,4.9,12.1,2.5,3,2.7,0.4,0.3,1.1,1.6,1.4,0.79,0.41
NBA,Cameron Johnson,SF,PHO,LAC@PHO,21.4,13.2,26,4.5,10.0,1.2,5.4,4.5,0.8,0.3,0.9,0.8,1.1,0.84,0.45
NBA,Alec Burks,SG,NY,BOS@NY,21.3,11.5,26,3.7,9.5,2.4,4.5,4.0,0.5,0.4,1.1,1.1,2.2,0.83,0.39
NBA,Terance Mann,SF,LAC,LAC@PHO,21.1,11.0,30,4.2,8.7,2.6,5.2,4.0,1.3,0.2,0.7,1.2,1.4,0.77,0.48
NBA,Nemanja Bjelica,PF,GS,GS@NO,20.8,9.8,22,3.6,8.0,3.1,5.1,4.2,0.9,0.6,0.7,1.6,1.1,0.71,0.45
NBA,Otto Porter,SF,GS,GS@NO,20.5,10.1,24,3.8,8.7,2.4,4.8,4.1,0.7,0.6,1.0,0.8,0.8,0.81,0.44
NBA,Willy Hernangomez,C,NO,GS@NO,20.1,8.9,19,3.5,6.6,1.5,8.5,5.2,3.2,0.4,0.4,1.1,1.8,0.69,0.53
NBA,Nicolas Batum,SG,LAC,LAC@PHO,20.1,9.1,30,3.3,7.3,2.6,5.1,4.4,0.7,0.7,1.3,1.3,0.6,0.79,0.45
NBA,Bismack Biyombo,C,PHO,LAC@PHO,19.5,8.3,23,3.5,5.7,1.2,8.2,5.9,2.3,1.2,0.4,1.1,1.3,0.57,0.61
NBA,Herbert Jones,SF,NO,GS@NO,19.2,9.3,29,3.6,7.3,2.2,4.1,2.7,1.4,1.1,1.4,1.1,1.4,0.82,0.49
NBA,Killian Hayes,PG,DET,DET@MEM,18.6,7.6,26,2.8,7.5,4.1,3.2,2.8,0.3,0.5,1.1,1.9,1.0,0.84,0.37
NBA,Josh Jackson,SF,DET,DET@MEM,18.2,10.9,21,4.1,9.5,1.9,3.9,3.4,0.5,0.7,0.6,1.7,1.6,0.7,0.43
NBA,Elfrid Payton,PG,PHO,LAC@PHO,18.2,7.3,20,3.1,7.4,3.7,4.2,3.3,0.8,0.2,1.0,1.8,0.7,0.63,0.42
NBA,Mitchell Robinson,C,NY,BOS@NY,17.8,6.9,24,3.0,4.2,0.6,7.3,4.8,2.6,2.3,0.8,0.6,1.0,0.56,0.71
