index,LEAGUE,PLAYER,POS,TEAM,GAME,FP,PTS,MIN,FG,FGA,AST,TRB,DRB,ORB,BK,ST,TO,FT,FTP,FGP,DATE
149,NBA,George Hill,PG,MIL,MIL@ATL,14.6,7.1,23,2.6,5.6,2.5,2.4,1.8,0.7,0.1,0.7,0.8,1.0,0.87,0.46,2022-01-17
150,NBA,Malcolm Hill,SF,CHI,CHI@MEM,14.5,8.3,15,2.8,6.3,1.3,2.6,2.2,0.3,0.4,1.2,0.6,1.0,0.78,0.44,2022-01-17
151,NBA,Donte DiVincenzo,SG,MIL,MIL@ATL,14.2,6.8,20,2.4,6.3,1.8,3.8,2.8,1.0,0.2,0.8,1.1,0.8,0.79,0.38,2022-01-17
152,NBA,Gabe Vincent,PG,MIA,TOR@MIA,14.2,7.6,20,2.8,6.3,2.8,1.7,1.4,0.4,0.2,0.7,1.4,0.6,0.79,0.44,2022-01-17
153,NBA,Cameron Thomas,SG,BKN,BKN@CLE,14.0,8.9,22,3.6,8.1,1.2,3.0,2.9,0.1,0.1,0.7,1.0,0.8,0.78,0.44,2022-01-17
154,NBA,Lance Stephenson,SF,IND,IND@LAC,14.0,6.6,17,2.6,6.4,2.5,3.2,2.9,0.3,0.2,0.5,1.4,0.5,0.71,0.41,2022-01-17
155,NBA,Max Strus,SG,MIA,TOR@MIA,13.9,9.5,19,3.3,6.7,1.1,2.6,2.3,0.3,0.1,0.2,0.7,0.9,0.79,0.49,2022-01-17
156,NBA,Chris Boucher,C,TOR,TOR@MIA,13.9,7.7,18,2.7,6.0,0.4,4.6,3.1,1.5,0.9,0.6,0.7,1.6,0.77,0.45,2022-01-17
157,NBA,Derrick Favors,PF,OKC,OKC@DAL,13.8,6.3,18,2.7,4.8,0.8,5.4,3.7,1.7,0.6,0.4,0.5,0.8,0.65,0.56,2022-01-17
158,NBA,Raul Neto,PG,WAS,PHI@WAS,13.6,7.2,21,2.8,6.2,2.3,2.1,1.8,0.3,0.1,0.5,1.0,1.1,0.81,0.45,2022-01-17
159,NBA,Tyus Jones,PG,MEM,CHI@MEM,13.6,5.6,15,2.3,4.8,3.0,1.8,1.7,0.2,0.0,0.6,0.5,0.5,0.88,0.48,2022-01-17
160,NBA,Jeremiah Robinson-Earl,PF,OKC,OKC@DAL,13.6,6.6,23,2.4,6.0,0.9,5.2,3.8,1.4,0.4,0.4,0.7,0.8,0.7,0.4,2022-01-17
161,NBA,Jalen Smith,C,PHO,PHO@SA,13.6,7.2,17,2.6,5.8,0.3,5.7,3.7,2.0,0.7,0.2,0.7,1.7,0.82,0.45,2022-01-17
162,NBA,Jeremy Lamb,SG,IND,IND@LAC,13.5,7.4,17,2.6,6.8,1.2,3.1,2.6,0.4,0.7,0.6,0.8,1.3,0.89,0.38,2022-01-17
163,NBA,Dewayne Dedmon,C,MIA,TOR@MIA,13.4,6.6,17,2.6,4.6,0.9,5.1,3.8,1.3,0.6,0.5,1.1,1.0,0.78,0.56,2022-01-17
164,NBA,Taj Gibson,PF,NY,CHA@NY,13.3,5.5,20,2.3,3.9,1.0,5.1,3.4,1.6,0.8,0.7,0.8,0.8,0.74,0.59,2022-01-17
165,NBA,Precious Achiuwa,PF,TOR,TOR@MIA,13.3,6.0,21,2.5,5.9,1.0,5.2,3.6,1.5,0.6,0.6,1.0,0.8,0.56,0.42,2022-01-17
166,NBA,Rudy Gay,SF,UTA,UTA@LAL,13.3,7.6,17,2.7,6.1,1.0,3.8,3.2,0.6,0.3,0.5,0.9,1.0,0.83,0.44,2022-01-17
167,NBA,Grant Williams,PF,BOS,NO@BOS,13.2,6.4,24,2.2,4.7,1.3,3.6,2.7,0.8,0.8,0.7,0.9,0.9,0.8,0.47,2022-01-17
168,NBA,Garrett Temple,SF,NO,NO@BOS,13.1,7.0,23,2.5,6.4,1.6,2.7,2.2,0.5,0.4,0.7,0.8,0.6,0.75,0.39,2022-01-17
169,NBA,Rui Hachimura,PF,WAS,PHI@WAS,13.1,7.9,21,3.1,6.5,0.9,3.6,2.9,0.7,0.1,0.4,0.6,1.4,0.77,0.48,2022-01-17
170,NBA,Jordan Nwora,SF,MIL,MIL@ATL,13.0,7.7,18,3.0,6.8,0.9,3.4,2.7,0.7,0.3,0.5,0.8,0.4,0.71,0.44,2022-01-17
171,NBA,Gary Trent Jr.,SG,TOR,TOR@MIA,13.0,8.7,19,3.2,7.7,1.2,1.3,1.1,0.2,0.2,1.0,0.6,0.8,0.81,0.42,2022-01-17
172,NBA,Keifer Sykes,SF,IND,IND@LAC,12.9,6.9,16,2.7,6.6,2.0,2.3,2,0.3,0.3,0.5,1.1,0.5,0.83,0.41,2022-01-17
173,NBA,Caleb Martin,SG,MIA,TOR@MIA,12.7,7.5,19,3.0,5.5,1.0,2.9,2.1,0.8,0.4,0.7,0.8,0.8,0.7,0.55,2022-01-17
174,NBA,Georges Niang,SF,PHI,PHI@WAS,12.6,7.6,21,2.7,6.5,1.2,2.5,2.1,0.4,0.2,0.5,0.6,0.6,0.87,0.41,2022-01-17
175,NBA,Duane Washington Jr.,PG,IND,IND@LAC,12.5,7.5,21,2.7,8.5,1.8,2.1,1.9,0.2,0.2,0.6,1.4,1.0,0.74,0.32,2022-01-17
176,NBA,Delon Wright,PG,ATL,MIL@ATL,12.5,4.9,18,1.7,3.9,2.2,2.7,2.2,0.5,0.2,1.0,0.7,0.9,0.8,0.44,2022-01-17
177,NBA,Avery Bradley,SG,LAL,UTA@LAL,12.4,7.3,25,2.9,6.6,1.3,2.1,1.7,0.4,0.2,0.9,0.6,0.3,0.9,0.44,2022-01-17
178,NBA,Trevor Ariza,SF,LAL,UTA@LAL,12.4,5.7,20,2.0,4.6,1.5,3.2,2.8,0.4,0.2,0.7,0.5,0.7,0.79,0.43,2022-01-17
179,NBA,Blake Griffin,PF,BKN,BKN@CLE,12.0,5.9,16,2.1,5.0,1.6,3.1,2.6,0.4,0.2,0.4,0.8,1.1,0.75,0.42,2022-01-17
180,NBA,Elfrid Payton,PG,PHO,PHO@SA,12.0,5.0,15,2.1,4.7,2.6,2.1,1.7,0.4,0.1,0.6,1.0,0.5,0.63,0.45,2022-01-17
181,NBA,Wesley Matthews,SG,MIL,MIL@ATL,11.9,7.3,22,2.6,5.9,1.2,1.9,1.4,0.5,0.2,0.6,0.6,0.6,0.78,0.44,2022-01-17
182,NBA,Jalen McDaniels,SG,CHA,CHA@NY,11.7,6.3,18,2.4,5.0,1.0,3.2,2.4,0.7,0.4,0.6,0.7,0.7,0.69,0.48,2022-01-17
183,NBA,Oshae Brissett,SF,IND,IND@LAC,11.7,5.8,19,2.2,5.5,0.7,4.0,2.8,1.2,0.7,0.5,0.7,0.6,0.67,0.4,2022-01-17
184,NBA,Dean Wade,PF,CLE,BKN@CLE,11.6,5.3,18,1.9,4.6,1.3,3.2,2.3,0.9,0.2,0.6,0.3,0.4,0.77,0.41,2022-01-17
185,NBA,Bismack Biyombo,C,PHO,PHO@SA,11.6,5.2,17,2.1,3.6,0.8,4.3,3.1,1.3,0.8,0.3,0.6,0.9,0.57,0.58,2022-01-17
186,NBA,Quentin Grimes,SG,NY,CHA@NY,11.5,6.6,17,2.2,5.2,1.4,1.8,1.6,0.2,0.3,0.7,0.7,0.2,0.58,0.42,2022-01-17
187,NBA,Tony Bradley,C,CHI,CHI@MEM,11.5,4.8,13,2.1,3.6,0.7,4.4,3.4,1.0,1.0,0.4,0.6,0.6,0.74,0.58,2022-01-17
188,NBA,Maximilian Kleber,PF,DAL,OKC@DAL,11.5,5.3,19,1.8,4.3,0.8,4.0,3.2,0.8,0.6,0.3,0.4,0.5,0.8,0.42,2022-01-17
189,NBA,Jaxson Hayes,C,NO,NO@BOS,11.4,6.7,15,2.5,4.1,0.5,3.3,2.2,1.2,0.6,0.4,0.6,1.6,0.74,0.61,2022-01-17
