index,gameId,seasonYear,League,homeTeamId,awayTeamId,startDate,startTime,status,homeScore,awayScore
158,9658,2021,standard,17,14,2021-10-31,22:30,Finished,95,85
159,9659,2021,standard,5,7,2021-11-01,19:00,Finished,110,113
160,9660,2021,standard,15,31,2021-11-01,19:00,Finished,131,118
161,9661,2021,standard,27,29,2021-11-01,19:00,Finished,113,103
162,9662,2021,standard,1,41,2021-11-01,19:30,Finished,118,111
163,9663,2021,standard,2,6,2021-11-01,19:30,Finished,114,128
164,9664,2021,standard,24,38,2021-11-01,19:30,Finished,104,113
165,9665,2021,standard,19,9,2021-11-01,20:00,Finished,106,97
166,9666,2021,standard,22,26,2021-11-01,20:00,Finished,97,115
167,9667,2021,standard,16,25,2021-11-01,22:30,Finished,99,94
168,9668,2021,standard,10,21,2021-11-02,19:00,Finished,89,117
169,9669,2021,standard,8,20,2021-11-02,19:30,Finished,110,125
170,9670,2021,standard,40,30,2021-11-02,21:00,Finished,119,113
171,9671,2021,standard,28,23,2021-11-02,22:00,Finished,112,100
172,8893,2021,standard,17,14,2021-11-02,22:30,Finished,119,117
173,8894,2021,standard,7,29,2021-11-03,19:00,Finished,107,104
174,8895,2021,standard,15,24,2021-11-03,19:00,Finished,111,98
175,8896,2021,standard,26,2,2021-11-03,19:00,Finished,79,92
176,8897,2021,standard,27,6,2021-11-03,19:00,Finished,103,98
177,8898,2021,standard,41,38,2021-11-03,19:00,Finished,100,109
178,8899,2021,standard,4,1,2021-11-03,19:30,Finished,117,108
179,8900,2021,standard,19,9,2021-11-03,20:00,Finished,108,106
180,8901,2021,standard,22,16,2021-11-03,20:00,Finished,115,126
181,8902,2021,standard,31,8,2021-11-03,20:30,Finished,108,109
182,8903,2021,standard,11,5,2021-11-03,22:00,Finished,114,92
183,8904,2021,standard,30,23,2021-11-03,22:00,Finished,112,99
184,8905,2021,standard,10,27,2021-11-04,19:00,Finished,98,109
185,8906,2021,standard,1,40,2021-11-04,19:30,Finished,98,116
186,8907,2021,standard,20,2,2021-11-04,19:30,Finished,78,95
187,8908,2021,standard,28,14,2021-11-04,22:00,Finished,123,111
188,8909,2021,standard,17,25,2021-11-04,22:30,Finished,104,107
189,8910,2021,standard,10,4,2021-11-05,19:00,Finished,90,96
190,8911,2021,standard,26,31,2021-11-05,19:00,Finished,89,102
191,8912,2021,standard,41,19,2021-11-05,19:00,Finished,115,87
192,8913,2021,standard,38,7,2021-11-05,19:30,Finished,101,102
193,8914,2021,standard,21,24,2021-11-05,19:30,Finished,98,113
194,8915,2021,standard,22,16,2021-11-05,20:00,Finished,84,104
195,8916,2021,standard,11,23,2021-11-05,22:00,Finished,126,85
196,8917,2021,standard,29,15,2021-11-05,22:00,Finished,110,106
197,8918,2021,standard,30,5,2021-11-05,22:00,Finished,140,110
198,8919,2021,standard,9,14,2021-11-06,17:00,Finished,95,94
199,8920,2021,standard,20,40,2021-11-06,19:30,Finished,118,115
200,8921,2021,standard,6,27,2021-11-06,20:00,Finished,105,114
201,8922,2021,standard,8,2,2021-11-06,20:30,Finished,107,104
202,8923,2021,standard,28,1,2021-11-06,22:00,Finished,121,117
203,8924,2021,standard,29,17,2021-11-06,22:30,Finished,105,90
204,8925,2021,standard,38,4,2021-11-07,15:30,Finished,103,116
205,8926,2021,standard,24,7,2021-11-07,18:00,Finished,109,126
206,8927,2021,standard,26,40,2021-11-07,18:00,Finished,107,100
207,8928,2021,standard,41,21,2021-11-07,18:00,Finished,101,94
208,8929,2021,standard,30,15,2021-11-07,18:00,Finished,91,94
209,8930,2021,standard,25,31,2021-11-07,19:00,Finished,99,94
210,8931,2021,standard,11,14,2021-11-07,20:30,Finished,120,107
211,8932,2021,standard,16,5,2021-11-07,21:00,Finished,120,106
212,8933,2021,standard,27,24,2021-11-08,19:00,Finished,96,103
213,8934,2021,standard,6,4,2021-11-08,20:00,Finished,118,95
214,8935,2021,standard,19,22,2021-11-08,20:00,Finished,125,118
215,8936,2021,standard,8,23,2021-11-08,20:30,Finished,108,92
216,8937,2021,standard,9,20,2021-11-08,21:00,Finished,113,96
217,8938,2021,standard,11,1,2021-11-08,22:00,Finished,127,113
218,8939,2021,standard,30,28,2021-11-08,22:00,Finished,104,109
219,9719,2021,standard,17,5,2021-11-08,22:30,Finished,126,123
220,9720,2021,standard,27,21,2021-11-09,19:30,Finished,109,118
221,9721,2021,standard,40,1,2021-11-09,21:00,Finished,110,98
222,9722,2021,standard,16,29,2021-11-09,22:00,Finished,117,109
223,9723,2021,standard,7,41,2021-11-10,19:00,Finished,94,97
224,9724,2021,standard,26,4,2021-11-10,19:00,Finished,90,123
225,9725,2021,standard,2,38,2021-11-10,19:30,Finished,104,88
226,9726,2021,standard,24,21,2021-11-10,19:30,Finished,100,112
227,9727,2021,standard,14,10,2021-11-10,19:30,Finished,104,112
228,9728,2021,standard,6,8,2021-11-10,20:00,Finished,117,107
229,9729,2021,standard,19,5,2021-11-10,20:00,Finished,108,118
230,9730,2021,standard,23,25,2021-11-10,20:00,Finished,100,108
231,9731,2021,standard,31,30,2021-11-10,20:30,Finished,136,117
232,9732,2021,standard,9,15,2021-11-10,21:00,Finished,101,98
233,9733,2021,standard,28,29,2021-11-10,21:00,Finished,119,109
234,9734,2021,standard,11,22,2021-11-10,22:00,Finished,123,110
235,9735,2021,standard,17,20,2021-11-10,22:00,Finished,120,117
236,9736,2021,standard,27,38,2021-11-11,19:00,Finished,109,115
237,9737,2021,standard,40,15,2021-11-11,21:00,Finished,100,111
238,9738,2021,standard,16,20,2021-11-11,22:30,Finished,112,109
239,9739,2021,standard,5,24,2021-11-12,19:00,Finished,104,96
240,9740,2021,standard,2,21,2021-11-12,19:30,Finished,122,113
241,9741,2021,standard,7,10,2021-11-12,19:30,Finished,98,78
242,9742,2021,standard,14,29,2021-11-12,20:00,Finished,92,104
243,9743,2021,standard,19,28,2021-11-12,20:00,Finished,94,119
244,9744,2021,standard,23,4,2021-11-12,20:00,Finished,112,120
245,9745,2021,standard,25,30,2021-11-12,20:00,Finished,105,103
246,9746,2021,standard,31,8,2021-11-12,20:30,Finished,109,123
247,9747,2021,standard,9,1,2021-11-12,21:00,Finished,105,96
248,9748,2021,standard,11,6,2021-11-12,22:00,Finished,119,93
249,9749,2021,standard,17,22,2021-11-12,22:30,Finished,83,107
250,9750,2021,standard,40,20,2021-11-13,17:00,Finished,105,111
251,9751,2021,standard,15,27,2021-11-13,19:00,Finished,118,113
252,9752,2021,standard,26,41,2021-11-13,19:00,Finished,92,104
